Country,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,ISO,Life expectancy,Meat consumption,Suicide rate,Male Height in Cm,Female Height in Cm,Surface area (km2),GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants).1,Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
Afghanistan,38928346,2.33,886592,60,652860,-62920,4.6,18,25.0,0.5,AFG,64.5,17.3,6.4,168.5,156.11,652864,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10.0,28.5,8.6,,125,125,1458,3568,-2110,-5121.0,68.6,8.2,0.3,3.3,,,,27.7,61.6,8.3,42,2.1,,63,5,,,21.43,-99
Algeria,43851044,1.85,797990,18,2381740,-10000,3.1,29,73.0,0.56,DZA,76.7,18.3,3.3,175.04,162.35,2381741,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,,160,161,29992,47091,-17099,-27229.0,27.7,7.2,,,,,,31.6,113.0,38.2,135,0.8,,5900,55,,,0.05,-99
Angola,32866272,3.27,1040977,26,1246700,6413,5.6,17,67.0,0.42,AGO,60.8,19.0,8.9,168.46,158.1,1246700,117955,3.0,4714.1,6.8,51.2,42.0,4.2,37.6,58.2,6.6,,175,176,21011,8790,12221,-10273.0,65.4,3.3,,,,,,38.2,60.8,12.4,146,46.5,,3902,25,,,0.42,-99
Antigua and Barbuda,97929,0.84,811,223,440,0,2.0,34,26.0,0.0,ATG,76.9,56.0,0.5,178.84,165.72,442,1356,4.1,14764.5,1.9,18.3,79.8,,,,,,88,88,61,491,-429,-204.0,9.1,5.5,-99.0,,,,,11.1,137.2,65.2,55,22.3,,-99,84,,,0.12,-99
Argentina,45195774,0.93,415097,17,2736690,4800,2.3,32,93.0,0.58,ARG,76.5,79.7,9.1,174.76,161.22,2780400,632343,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,,119,119,57733,55610,2124,-15944.0,13.7,4.8,3.8,5.3,,,,38.9,143.9,69.4,256,10.0,,3167,85,,,0.01,-99
Armenia,2963243,0.19,5512,104,28470,-4998,1.8,35,63.0,0.04,ARM,74.9,27.7,5.7,173.67,159.85,29743,10529,3.0,3489.1,19.0,28.3,52.8,35.0,15.7,49.3,16.6,,135,135,1776,3230,-1455,-279.0,13.2,4.5,2.8,2.8,,,,9.9,115.2,58.2,114,11.7,,48,46,,,3.17,-99
Australia,25499884,1.18,296686,3,7682300,158246,1.8,38,86.0,0.33,AUS,83.3,108.2,11.7,178.77,164.67,7692060,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,,111,111,189630,189406,224,-57746.0,3.9,9.4,3.4,5.2,,,,28.7,132.8,84.6,948,16.2,,15282,222,,,-99.0,-99
Austria,9006398,0.57,51296,109,82409,65000,1.5,43,57.0,0.12,AUT,81.4,94.1,11.4,178.52,166.93,83871,376967,1.0,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,,108,108,145503,149299,-3795,7020.0,3.3,11.2,5.2,5.5,,,,30.6,157.4,83.9,118,46.9,,505,158,,,-99.0,-99
Azerbaijan,10139177,0.91,91459,123,82658,1200,2.1,32,56.0,0.13,AZE,72.9,15.9,2.6,174.0,161.37,86600,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,,131,136,9143,8532,611,-222.0,31.4,6.0,3.4,2.6,,-99.0,,16.8,111.3,77.0,97,13.5,,2459,61,,,0.14,-99
Bahamas,393244,0.97,3762,39,10010,1000,1.8,32,86.0,0.01,BHS,73.8,123.6,1.6,174.4,163.46,13940,8854,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,,132,132,365,2904,-2539,-1409.0,9.1,7.7,,,,,-99.0,13.2,80.3,78.0,86,51.4,,0,90,,,-99.0,-99
